dep,type,idx,name,latitude,longitude
Nord,B,133,Quartier maison d’arrêt du centre pénitentiaire de Maubeuge,50.28869545,4.0031105022405065
Nord,B,134,Maison d’arrêt de Valenciennes,50.35513315,3.4979665459950144
Oise,B,135,Quartier maison d’arrêt du centre pénitentiaire de Beauvais,49.409146,2.08186245941282
Oise,B,136,Quartier maison d’arrêt du centre pénitentiaire de Liancourt,49.3326658,2.476362300431382
Orne,B,137,Quartier Maison d’Arrêt du centre pénitentiaire d’Alençon-Condé sur Sarthe,48.43970765,0.010139113372974082
Pas-de-Calais,B,138,Maison d’arrêt d’Arras,50.293147000000005,2.760902485538959
Pas-de-Calais,B,139,Maison d’arrêt de Béthune,50.5366096,2.6374371934878047
Pas-de-Calais,B,140,Quartier maison d’arrêt du centre pénitentiaire de Longuenesse,50.726293,2.247749496722383
Pas-de-Calais,B,141,Quartier maison d’arrêt du centre pénitentiaire de Vendin-le-Vieil,50.45873215,2.821499058493697
Puy-de-Dôme,B,142,Quartier maison d’arrêt du centre pénitentiaire de Riom,45.88982355,3.151027687988614
Pyrénées-Atlantiques,B,143,Maison d’arrêt de Bayonne,43.491305749999995,-1.4630025532410014
Pyrénées-Atlantiques,B,144,Maison d’arrêt de Pau,43.30329555,-0.372755137581149
Hautes-Pyrénées,B,145,Maison d’arrêt de Tarbes,43.2352036,0.07933568869281946
Pyrénées-Orientales,B,146,Quartier maison d’arrêt du centre pénitentiaire de Perpignan,42.67991925,2.8713266137836744
Bas-Rhin,B,147,Maison d’arrêt de Strasbourg,44.1991837,0.6178443482223859
Haut-Rhin,B,148,Quartier maison d’arrêt du centre pénitentiaire de Mulhouse-Lutterbach,47.760515999999996,7.258304967633373
Rhône,B,149,Maison d’arrêt de Lyon-Corbas,45.67947115,4.93128260304083
Rhône,B,150,Quartier maison d’arrêt du centre pénitentiaire de Villefranche-sur-Saône,45.99755595,4.724998989055585
Haute-Saône,B,151,Maison d’arrêt de Vesoul,47.6247937,6.155353070445367
Saône-et-Loire,B,152,Quartier maison d’arrêt du centre pénitentiaire de Varennes-le-Grand,46.6987568,4.836895568765476
Sarthe,B,153,Maison d’arrêt du Mans-les-Croisettes,48.043282149999996,0.2158673258318637
Savoie,B,154,Quartier maison d’arrêt du centre pénitentiaire d’Aiton,45.565218099999996,6.231702410190571
Savoie,B,155,Maison d’arrêt de Chambéry,45.574638050000004,5.905747535138291
Haute-Savoie,B,156,Maison d’arrêt de Bonneville,46.0804178,6.400918469087319
Paris,B,157,Quartier maison d’arrêt du centre pénitentiaire de Paris-La Santé,48.833882700000004,2.3397439789181727
Seine-Maritime,B,158,Quartier maison d’arrêt du centre pénitentiaire du Havre,49.5178565,0.2833644205684207
Seine-Maritime,B,159,Maison d’arrêt de Rouen,49.43301175,1.0767465838482506
Seine-et-Marne,B,160,Quartier maison d’arrêt du centre pénitentiaire du Sud Francilien,48.6022572,2.5914315422660916
Seine-et-Marne,B,161,Quartier maison d’arrêt du centre pénitentiaire de Meaux-Chauconin-Neufmontiers,48.9616353,2.8655815250459993
Yvelines,B,162,Quartier maison d’arrêt du centre pénitentiaire de Bois-d’Arcy,48.806750199999996,2.030337257054531
Yvelines,B,163,Maison d’arrêt de Versailles,48.8000419,2.1346717322402284
Deux-Sèvres,B,164,Maison d’arrêt de Niort,46.323827300000005,-0.46659541569999896
