Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
Li Wenxiang,Guangzhou Ripper,,,"Meixian, Guangdong, China",, or thereafter,"Murder, Rape, Robbery",deathsentence,
Adolf Seefeldt,"The Sman, Uncle Tick Tock, Uncle Adi, Adolf Seefeld",66.0,1870-03-06,"Potsdam, North German Confederation",1936-05-23,"Schwerin, Nazi Germany",Murder,death,
José Manuel Martínez,El Mano Negra,,1962-06-13,,,,First-Degree Murder Attempted Murder Count,Ten life sentence(s),2013-05-17
Charles Sobhraj,"Bikini Killer, Splitting Killer, The Serpent",,1944-04-06,,,,Murder And,"12 years (c. 1975)10 years (c. 1987), life imprisonment (2004)1 year (2010)20 years (2014)",2003-01-01
Slamet Tohari,Mbah Slamet,,,"Central Java, Indonesia",,,Murder,death,2023-03-27
Vladimir Romanov,"The Kaliningrad Maniac, The Bagrationvosky Maniac, The Taxi Driver",55.0,1950-12-05,"Orekhovka, Kaliningrad Oblast, RSFSR",2006-10-12,"Kaliningrad, Kaliningrad Oblast, Russia",Murder,Died by suicide before he could be sentenced,2006-09-27
Maury Travis,The Bi-State Strangler,,,,2002-06-10,,,,2002-06-07
Dennis Nilsen,The Muswell Hill Murderer,72.0,1945-11-23,"Fraserburgh, Scotland",2018-05-12,"York, England","Murder, Attempted Murder",life imprisonment (whole life tariff),1983-02-09
Kenneth Bianchi,The Hillside Strangler,,1951-05-22,,,,Murder,life imprisonment,1979-01-12
Enriqueta Martí,,,,,1913-05-12,"Barcelona, Kingdom of Spain",,,
Abdallah Al-Hubal,,,,Yemen,1998-08-16,"Faqih, Yemen",,,
Nikolai Shestakov,The Luberetsky Maniac,,,RSFSR,,RSFSR,Murder With Aggravating Circumstances,death,1976-03-12
Joseph Christopher,"The .22-Caliber Killer, The Midtown Slasher",37.0,1955-07-26,,1993-03-01,,Murder,"60 years (overturned), life imprisonment",1981-01-01
Siswanto,Robot Gedek,,,Indonesia,2007-03-26,"Nusa Kambangan, Indonesia",Murder,death,1996-08-06
