Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population)
Robbery with violence,Zabaykalsky Krai,2008,317,28.5
Robbery with violence,Krasnoyarsk Krai,2008,736,25.9
Robbery with violence,Irkutsk Oblast,2008,1415,57.6
Robbery with violence,Kemerovo Oblast,2008,1432,51.5
Robbery with violence,Novosibirsk Oblast,2008,962,36.4
Robbery with violence,Omsk Oblast,2008,468,23.5
Robbery with violence,Tomsk Oblast,2008,188,18.3
Robbery with violence,Sakha (Yakutia) Republic,2008,237,24.7
Robbery with violence,Kamchatka Krai,2008,38,11.6
Robbery with violence,Primorsky Krai,2008,729,36.9
Robbery with violence,Khabarovsk Krai,2008,391,28.9
Robbery with violence,Amur Oblast,2008,183,21.7
Robbery with violence,Magadan Oblast,2008,22,13.4
Robbery with violence,Sakhalin Oblast,2008,88,17.3
Robbery with violence,Jewish Autonomous Oblast,2008,17,9.5
Robbery with violence,Chukotka Autonomous Okrug,2008,4,7.6
Extortion,Russian Federation,2008,9953,7.0
Extortion,Belgorod Oblast,2008,53,3.5
Extortion,Bryansk Oblast,2008,29,2.2
Extortion,Vladimir Oblast,2008,50,3.4
